"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle",44,0.741513745558002,2.08312016626674,4.45292808098121e-07,1.39998101535025e-05,1.07447171508696e-05,2096,"tags=50%, list=13%, signal=44%","332/57082/83903/991/10403/1063/9319/701/55143/699/9212/5347/891/11130/10459/348654/55743/9735/8379/3619/9184/54908"
"GO:1905819","GO:1905819","negative regulation of chromosome separation",44,0.741513745558002,2.08312016626674,4.45292808098121e-07,1.39998101535025e-05,1.07447171508696e-05,2096,"tags=50%, list=13%, signal=44%","332/57082/83903/991/10403/1063/9319/701/55143/699/9212/5347/891/11130/10459/348654/55743/9735/8379/3619/9184/54908"
"GO:0002286","GO:0002286","T cell activation involved in immune response",112,0.591591925349202,1.93630347802297,4.74903749517771e-07,1.48491762554136e-05,1.1396597313708e-05,1681,"tags=31%, list=10%, signal=28%","430/114836/3594/3718/10859/50943/51176/3683/941/6693/3122/3123/972/4063/3965/3071/942/3383/3662/3109/30009/3936/8477/2207/4192/7305/6775/84868/84807/8320/602/7292/54518/3595/2213"
"GO:0050900","GO:0050900","leukocyte migration",309,0.467546677206219,1.72429969625174,4.80914568817083e-07,1.49553976237573e-05,1.14781211733688e-05,1896,"tags=26%, list=12%, signal=23%","4283/1621/3627/6280/430/6279/284340/2833/6352/1236/7535/6402/3932/5800/11151/1800/7852/1234/56833/6351/6504/3683/5880/6693/64005/101/9750/6404/63940/972/3965/3553/6348/7409/3071/3383/4615/30009/7941/2207/728/4192/8740/3689/6793/3695/11314/3676/50848/6688/1230/4067/5294/7226/5795/6367/255231/729230/5293/6850/119/4282/54210/7060/2629/811/7422/120425/1240/81704/7040/79902/719/50512/59341/8784/2185/7042/11240/8772"
"GO:0043370","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation",55,0.712174732562773,2.10001468348958,4.94982400692236e-07,1.53096718743836e-05,1.17500231902589e-05,1042,"tags=35%, list=6%, signal=32%","430/54440/3594/3718/3561/50943/941/3122/3123/8651/864/9308/3965/3071/942/3662/30009/8477/84807"
"GO:0045589","GO:0045589","regulation of regulatory T cell differentiation",32,0.802928118059369,2.12820343679088,5.00056670108306e-07,1.53834637976329e-05,1.18066577684881e-05,1723,"tags=66%, list=11%, signal=59%","259307/11006/3932/3561/1493/50943/3902/3122/3123/8651/3965/3659/4192/2177/2175/940/10385/7292/10288/7040/64410"
"GO:0001914","GO:0001914","regulation of T cell mediated cytotoxicity",33,0.793280428208752,2.13152485183341,5.03309207432853e-07,1.54007234488277e-05,1.18199043817048e-05,1896,"tags=55%, list=12%, signal=48%","3594/10859/3575/3134/3106/5788/3122/3123/6891/3136/3071/3105/51571/567/3107/3824/2213/8772"
"GO:0006260","GO:0006260","DNA replication",259,0.493464962746462,1.79095491425764,5.08714089514522e-07,1.54833086180963e-05,1.18832876901153e-05,3353,"tags=34%, list=21%, signal=27%","9156/374393/993/55388/7083/990/4171/51514/10293/23594/84296/6282/10721/8317/8914/9401/983/79733/116028/146956/4796/4173/4174/5984/142/9837/2237/201254/81620/63922/348654/4172/51659/641/23649/675/4175/11169/5424/10036/5426/5111/4176/1017/1663/672/890/55159/63901/5442/90381/23560/8607/5428/2735/10926/9093/29844/5591/10973/8318/9134/10498/57662/997/5888/1877/6418/56897/222229/27101/9400/5425/1763/79913/91607/27154/1111/92797/5985/8208/10445/84893/84464/1660/3978/253980"
"GO:0002009","GO:0002009","morphogenesis of an epithelium",437,-0.422186114208911,-1.65433303683733,5.13572038055327e-07,1.55484613849343e-05,1.19332918004279e-05,2231,"tags=27%, list=14%, signal=24%","7248/26585/80184/650/26146/94134/4233/182/58495/7414/200894/10370/26249/2043/54922/10787/79600/8945/5087/94/7482/2908/26160/2316/30812/4776/7041/4804/7048/388/538/6385/1909/8323/596/80000/4041/2487/27031/6422/6591/4089/54101/3791/10818/7075/55366/2252/8642/3690/9420/28514/55212/10413/56963/4649/10979/10253/5728/23242/4983/84962/4867/2260/57545/3488/2246/129880/10252/3082/59277/5311/9353/10512/760/10395/90627/4609/5154/2737/9231/27152/6910/3202/79864/65266/3479/84870/23245/1956/7022/284217/9096/54361/3400/2099/153572/8854/2625/2247/9464/130497/9687/374/2719/2263/3866/2066/4036/2255/6663/64478/5268/5241/79192/3861/8626"
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide",166,0.547122960006248,1.88831231714381,5.31867578125091e-07,1.60176120106935e-05,1.22933603099052e-05,2342,"tags=28%, list=14%, signal=24%","4283/3627/115362/4318/11009/129607/8140/923/497189/10859/1234/3394/941/8564/3934/5777/3553/942/2672/4615/3654/84868/5724/6688/4067/567/26191/7128/7133/7292/10288/4064/2635/4282/79155/958/59307/148022/3656/3055/5467/114769/2048/64127/6347/22904/7124"
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen",40,0.763786468740731,2.14727026350802,5.37020642478707e-07,1.60881262631579e-05,1.23474793079149e-05,1681,"tags=57%, list=10%, signal=52%","2209/3134/3111/3113/3122/3123/6891/3127/972/3109/3105/1520/3115/2207/3112/1509/81622/567/3117/1785/3108/3119/2213"
