"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000226210",40.9191109143589,-0.136641604008017,0.416818735346534,0.543203186518749,0.815200392048762,"ENSG00000226210","WASH8P"
"ENSG00000151491",205.0827265984,-0.70365156011872,0.377546627795971,0.0149491729401664,0.114843680069946,"ENSG00000151491","EPS8"
"ENSG00000139174",165.687504747588,0.711471741311184,0.356951201988339,0.011471759371579,0.0961373511353591,"ENSG00000139174","PRICKLE1"
"ENSG00000111224",57.8068254987472,0.0614455143052608,0.319790815354828,0.798883074997258,0.935696850290836,"ENSG00000111224","PARP11"
"ENSG00000275764",11.9801918670947,-0.16373459506102,0.41635268391153,0.48140664729537,0.778224737873333,"ENSG00000275764",NA
"ENSG00000130038",115.276916575584,-0.252382852847242,0.406717708575526,0.318804364994057,0.652058318983387,"ENSG00000130038","CRACR2A"
"ENSG00000234428",9.29010776278618,-0.563325834819621,0.702025619709374,0.0623998457396151,0.2832344937533,"ENSG00000234428",NA
"ENSG00000245648",31.311834942949,1.05929407603097,0.510463041725736,0.00431553752687973,0.0494368420013819,"ENSG00000245648","KLRK1-AS1"
"ENSG00000023697",46.726206393952,0.190406685990035,0.378077341831134,0.444237005630489,0.754089716032938,"ENSG00000023697","DERA"
"ENSG00000121380",14.1334219203421,0.0378112857787786,0.389857412678796,0.87028449100237,0.96016295595745,"ENSG00000121380","BCL2L14"
"ENSG00000179715",88.5741859051552,0.591967036378576,0.539303922244507,0.0604226988349795,0.277654128396069,"ENSG00000179715","PCED1B"
"ENSG00000139044",187.427490941711,1.62230146433221,0.899973543672641,0.00323273567891882,0.0398710992378734,"ENSG00000139044","B4GALNT3"
"ENSG00000139209",16.8286893484523,-0.259156173795747,0.41452058806621,0.307566805819603,0.640950653760886,"ENSG00000139209","SLC38A4"
"ENSG00000256134",13.0203623720438,-0.195805912545558,0.441852003778851,0.389753121383143,0.714046077697886,"ENSG00000256134",NA
"ENSG00000139160",24.6046905009055,-0.223307999840161,0.421558805271871,0.361174568701661,0.688855742991859,"ENSG00000139160","ETFBKMT"
"ENSG00000151743",16.3918075747623,-0.0169267347674712,0.370914280997857,0.940574997976785,0.98055966963325,"ENSG00000151743","AMN1"
"ENSG00000257042",28.4818155648796,-0.0382676098149653,0.467872468262796,0.721137464831093,0.905182870089076,"ENSG00000257042",NA
"ENSG00000023734",162.837416414433,0.123615454439439,0.339971899052886,0.613728489191299,0.8518778703942,"ENSG00000023734","STRAP"
"ENSG00000258352",15.9978484241083,0.171098799513839,0.456602028772551,0.409335411469333,0.73047068607603,"ENSG00000258352",NA
"ENSG00000111405",12.08478189195,-0.0442747858645986,0.439987803377302,0.801370107822731,0.936835632262794,"ENSG00000111405","ENDOU"
"ENSG00000064102",39.8966935589337,-0.10467584165916,0.359661668286439,0.663029944892016,0.877454158576598,"ENSG00000064102","INTS13"
"ENSG00000167778",233.108662649445,-0.175491881283014,0.320518391506365,0.466151309683143,0.767207213721129,"ENSG00000167778","SPRYD3"
"ENSG00000135447",21.0307117189211,-0.853176432217194,0.759932940277965,0.0250890710609257,0.161139344956568,"ENSG00000135447","PPP1R1A"
"ENSG00000139173",19.0565621660052,-0.468848478029024,0.570579810982406,0.100978493730643,0.370035950579485,"ENSG00000139173","TMEM117"
"ENSG00000151229",41.5958731437709,-0.080204448641186,0.323347710316089,0.736210841595625,0.912120168740349,"ENSG00000151229","SLC2A13"
"ENSG00000111371",777.758790347405,0.23707587166563,0.358385062444757,0.35017933813382,0.67946249276247,"ENSG00000111371","SLC38A1"
"ENSG00000245482",13.606297989467,0.0957034373072153,0.38335140230163,0.686691307759243,0.888623930357899,"ENSG00000245482",NA
"ENSG00000175548",33.8176062145766,-0.141434316593982,0.383550316109073,0.55558440311227,0.821877767681152,"ENSG00000175548","ALG10B"
"ENSG00000280054",13.8299932765384,-0.509389858033339,0.56240334933058,0.0885376974338722,0.343744072719693,"ENSG00000280054",NA
"ENSG00000178449",44.6649766784373,0.230478531156576,0.356713877197684,0.361132784987669,0.68884795514346,"ENSG00000178449","COX14"
"ENSG00000129315",152.574968909389,-0.0606798758549794,0.324697210829286,0.797342493850107,0.934740577012887,"ENSG00000129315","CCNT1"
"ENSG00000134294",474.76773093371,-0.522920950057594,0.352108966952218,0.0509729239722727,0.252012588589788,"ENSG00000134294","SLC38A2"
"ENSG00000185652",7.6441600288189,-2.7636976552981,1.30824640552853,0.00193692108105054,0.0272569452178864,"ENSG00000185652","NTF3"
"ENSG00000133704",150.41581550144,-0.155400030588059,0.318828497421619,0.517516954561599,0.800078472149146,"ENSG00000133704","IPO8"
"ENSG00000167588",79.8069981533178,-0.775528962022283,1.19326226966558,0.0222507506903892,0.149225848879334,"ENSG00000167588","GPD1"
"ENSG00000272368",15.116815285381,-0.101310706062862,0.401804097179028,0.655335063347386,0.87391669798483,"ENSG00000272368",NA
"ENSG00000167566",313.952923812554,0.105621356037088,0.277639485828914,0.643458180075757,0.86687300342814,"ENSG00000167566","NCKAP5L"
"ENSG00000182199",265.424654453894,1.16197151917634,0.595669329564797,0.00450501848962679,0.050887477897075,"ENSG00000182199","SHMT2"
"ENSG00000135423",68.6946043462874,0.463779018932829,0.379119179014958,0.090870718866735,0.349549000956406,"ENSG00000135423","GLS2"
"ENSG00000005175",40.2439537171059,-0.106703846343855,0.364257818408751,0.656450489308712,0.874299760595049,"ENSG00000005175","RPAP3"
"ENSG00000257298",38.6130787031916,0.148172306923048,0.3962058342064,0.536425715032,0.812061951621531,"ENSG00000257298",NA
"ENSG00000139117",35.9805090588695,-0.108612053566177,0.349560968708646,0.652553732359563,0.872238857444616,"ENSG00000139117","CPNE8"
"ENSG00000161798",41.3792911265179,-0.0737191606097242,0.471681040740717,0.529287633668347,0.807107130021807,"ENSG00000161798","AQP5"
"ENSG00000152556",182.752762224721,-0.622215366157221,0.307918162103929,0.0138024215357959,0.109049926592614,"ENSG00000152556","PFKM"
"ENSG00000170545",40.6920135632642,0.0914603269851874,0.36715901431423,0.705149964754998,0.899535348465421,"ENSG00000170545","SMAGP"
"ENSG00000174718",286.588891995407,0.313303847532089,0.325292899223003,0.210962514224317,0.540243075857868,"ENSG00000174718","RESF1"
"ENSG00000233560",13.2742495687844,0.183390639040919,0.418154585164048,0.441309465563459,0.752056220775536,"ENSG00000233560","KRT8P39"
"ENSG00000152944",54.895835246929,-0.0291998216654636,0.346505639612585,0.900710204838781,0.969324296208262,"ENSG00000152944","MED21"
"ENSG00000139624",177.599619693369,0.16940019102201,0.265481837345424,0.445969816279022,0.754855908273361,"ENSG00000139624","CERS5"
"ENSG00000258096",10.38009869158,0.250112106309319,0.459638789814768,0.296081438629077,0.629177155213223,"ENSG00000258096","SLC38A2-AS1"
"ENSG00000118596",61.9774016511489,-0.264176862491922,0.411895096881308,0.29972343364383,0.633406647607992,"ENSG00000118596","SLC16A7"
"ENSG00000076067",345.407364424724,-0.588548198281842,0.284804056145019,0.0147253218282273,0.113674035078644,"ENSG00000076067","RBMS2"
"ENSG00000234925",30.7489391352686,0.094079852017203,0.375841873062157,0.694827877772509,0.893190555451284,"ENSG00000234925",NA
"ENSG00000066117",219.048521636859,0.171584012682861,0.271015290955493,0.445830933949255,0.754855908273361,"ENSG00000066117","SMARCD1"
"ENSG00000257808",50.6768611067445,-0.693101282270593,0.503335816064561,0.0331973541657372,0.193880226352606,"ENSG00000257808",NA
"ENSG00000175215",1103.10647683086,0.0214124799854233,0.23912715314005,0.920383367553393,0.97440708372688,"ENSG00000175215","CTDSP2"
"ENSG00000166896",8.52176356167986,-0.119816228916579,0.455096346192946,0.510397620300186,0.796039515014745,"ENSG00000166896","ATP23"
"ENSG00000058272",390.084135652588,-0.596838214756517,0.392449889266598,0.0375567707223315,0.210171663205303,"ENSG00000058272","PPP1R12A"
"ENSG00000139626",151.384153773127,1.05499086255528,0.519781600696714,0.00465251398266046,0.0520307905983124,"ENSG00000139626","ITGB7"
"ENSG00000139291",46.861273970707,0.195344995904901,0.359346478284122,0.434351714782467,0.746988418172804,"ENSG00000139291","TMEM19"
"ENSG00000256879",11.176253783331,0.0785349280392925,0.421092107232444,0.710396391532658,0.900893223412624,"ENSG00000256879",NA
"ENSG00000161638",616.993431228735,-0.0223108261763268,0.334040240439197,0.922213944998516,0.974973229568539,"ENSG00000161638","ITGA5"
"ENSG00000111058",114.543469583311,0.102371601048457,0.403225189948091,0.65653347141552,0.874299760595049,"ENSG00000111058","ACSS3"
