"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000172893",196.344129837631,1.47200926060781,0.389982546913462,1.44938016801263e-05,0.000707762208761587,"ENSG00000172893","DHCR7"
"ENSG00000274576",43.8924020435468,3.40998157940146,0.95356258125884,1.46715252159886e-05,0.00071462243761431,"ENSG00000274576","IGHV2-70"
"ENSG00000261236",245.578789754397,1.29583309802147,0.339481537663926,1.48094703578655e-05,0.000719515305412144,"ENSG00000261236","BOP1"
"ENSG00000188783",383.749095481705,-1.75154548388259,0.473363812602001,1.49030712892263e-05,0.000722234447251369,"ENSG00000188783","PRELP"
"ENSG00000121966",332.137184359046,2.11635297217943,0.579175921563017,1.50083233361049e-05,0.000725503106154127,"ENSG00000121966","CXCR4"
"ENSG00000123473",48.9635671444521,1.92398999980731,0.521944566369323,1.5207422128647e-05,0.000733280497665488,"ENSG00000123473","STIL"
"ENSG00000211772",88.1950118168578,2.43399636311974,0.673050481673994,1.53146278575909e-05,0.000736599055676759,"ENSG00000211772","TRBC2"
"ENSG00000275379",51.7704039565685,1.93705066601307,0.52660274908958,1.54800476752598e-05,0.000740841882633194,"ENSG00000275379","H3C11"
"ENSG00000198467",701.680187486455,-2.14545434781544,0.591374571130668,1.54544447180985e-05,0.000740841882633194,"ENSG00000198467","TPM2"
"ENSG00000116852",197.515970619891,2.09850464771774,0.575030431076045,1.5547664076992e-05,0.000741310774726914,"ENSG00000116852","KIF21B"
"ENSG00000229240",43.7197316676654,-2.62348700602672,0.730067332502004,1.55807051395057e-05,0.000741310774726914,"ENSG00000229240","LINC00710"
"ENSG00000101115",31.2421317087576,3.46197399972444,0.968499534946904,1.56057294038702e-05,0.000741310774726914,"ENSG00000101115","SALL4"
"ENSG00000152583",741.017044443671,-2.19243650187947,0.60657399943037,1.59498274042272e-05,0.00075578552522105,"ENSG00000152583","SPARCL1"
"ENSG00000139946",65.69174740559,-1.63717156748245,0.440672997246376,1.61146881787362e-05,0.00076171670157174,"ENSG00000139946","PELI2"
"ENSG00000228639",32.5310461874273,-2.42297100285679,0.66852724245054,1.62184858556259e-05,0.000764739464509377,"ENSG00000228639",NA
"ENSG00000154370",216.413069256942,1.29324131153187,0.340958818798208,1.63461349444074e-05,0.000768869303230692,"ENSG00000154370","TRIM11"
"ENSG00000140451",42.9650245948112,2.76279878800838,0.77155454478868,1.66368329702144e-05,0.000780629490296784,"ENSG00000140451","PIF1"
"ENSG00000052850",109.91066598344,-2.22829011758443,0.618893595873104,1.67978529280102e-05,0.000786262428149862,"ENSG00000052850","ALX4"
